日期,推广账户,产品线,推广计划,展示次数,点击次数,点击率,总费用,平均每次点击费用
2021-01-10,北京猎豹移动,搜索推广,第三方软件-网易邮箱大师,252,27,10.71%,8.1,0.3
2021-01-10,北京猎豹移动,搜索推广,第三方软件-光影魔术手,3576,348,9.73%,123.11,0.35
2021-01-10,北京猎豹移动,搜索推广,第三方软件-陌陌电脑版,310,24,7.74%,7.2,0.3
2021-01-10,北京猎豹移动,搜索推广,第三方软件-腾讯会议,6848,300,4.38%,105.23,0.35
2021-01-10,北京猎豹移动,搜索推广,第三方软件-阿里旺旺,2358,176,7.46%,85.61,0.49
2021-01-10,北京猎豹移动,搜索推广,第三方软件-荒野行动,2779,278,10%,83.43,0.3
2021-01-10,北京猎豹移动,搜索推广,第三方软件-逍遥笔手写输入法,3358,240,7.15%,83.82,0.35
2021-01-10,北京猎豹移动,搜索推广,第三方软件-EV录屏,3208,20,0.62%,6.85,0.34
2021-01-10,北京猎豹移动,搜索推广,第三方软件-瞩目,4443,417,9.39%,145.93,0.35
2021-01-10,北京猎豹移动,搜索推广,第三方软件-cad快速看图,6036,458,7.59%,237.83,0.52
2021-01-10,北京猎豹移动,搜索推广,第三方软件-香肠派对,7647,953,12.46%,291.3,0.31
2021-01-10,北京猎豹移动,搜索推广,第三方软件-搜狗五笔,23042,840,3.65%,294.69,0.35
2021-01-10,北京猎豹移动,搜索推广,第三方软件-极品五笔输入法,6032,506,8.39%,234.54,0.46
2021-01-10,北京猎豹移动,搜索推广,第三方软件-雷电模拟器,17698,618,3.49%,203.86,0.33
2021-01-10,北京猎豹移动,搜索推广,第三方软件-美图秀秀,10581,427,4.04%,158.1,0.37
2021-01-10,北京猎豹移动,搜索推广,第三方软件-whatsapp,356,24,6.74%,6.73,0.28
2021-01-10,北京猎豹移动,搜索推广,第三方软件-CAJViewer,2364,191,8.08%,79.94,0.42
2021-01-10,北京猎豹移动,搜索推广,第三方软件-teamviewer,2804,235,8.38%,77.33,0.33
2021-01-10,北京猎豹移动,搜索推广,第三方软件-QQ拼音,5387,87,1.61%,28.84,0.33
2021-01-10,北京猎豹移动,搜索推广,第三方软件-cctalk,1318,79,5.99%,30.27,0.38
2021-01-10,北京猎豹移动,搜索推广,第三方软件-极点五笔输入法,3047,103,3.38%,31.46,0.31
2021-01-10,北京猎豹移动,搜索推广,第三方软件-酷我音乐,1630,93,5.71%,26.9,0.29
2021-01-10,北京猎豹移动,搜索推广,第三方软件-王者荣耀PC版,6954,82,1.18%,24.6,0.3
2021-01-10,北京猎豹移动,搜索推广,第三方软件-小鱼易连,599,52,8.68%,15.55,0.3
2021-01-10,北京猎豹移动,搜索推广,第三方软件-QQ影音,2344,64,2.73%,20.46,0.32
2021-01-10,北京猎豹移动,搜索推广,第三方软件-photoshopcs6,13798,89,0.65%,34.03,0.38
2021-01-10,北京猎豹移动,搜索推广,第三方软件-芒果TV,2032,113,5.56%,36.1,0.32
2021-01-10,北京猎豹移动,搜索推广,第三方软件-全民K歌,2096,166,7.92%,50.48,0.3
2021-01-10,北京猎豹移动,搜索推广,第三方软件-QQ五笔,459,30,6.54%,9.61,0.32
2021-01-10,北京猎豹移动,搜索推广,第三方软件-zoom视频会议,1081,177,16.37%,67.25,0.38
2021-01-10,北京猎豹移动,搜索推广,第三方软件-暴风影音,907,33,3.64%,9.9,0.3
2021-01-10,北京猎豹移动,搜索推广,公司软件-猎豹免费WIFI,315,31,9.84%,11.17,0.36
2021-01-10,北京猎豹移动,搜索推广,第三方软件-万能五笔,2595,70,2.7%,37.15,0.53
2021-01-10,北京猎豹移动,搜索推广,第三方软件-Rar解压软件,2209,35,1.58%,12.84,0.37
2021-01-10,北京猎豹移动,搜索推广,第三方软件-千牛,10087,641,6.35%,319.69,0.5
2021-01-10,北京猎豹移动,搜索推广,第三方软件-优酷客户端,986,26,2.64%,7.81,0.3
2021-01-10,北京猎豹移动,搜索推广,第三方软件-搜狗输入法,25081,2103,8.38%,1069.68,0.51
2021-01-10,北京猎豹移动,搜索推广,第三方软件-向日葵,17324,1688,9.74%,587.6,0.35
2021-01-10,北京猎豹移动,搜索推广,第三方软件-QQ,22153,1531,6.91%,536.08,0.35
2021-01-10,北京猎豹移动,搜索推广,第三方软件-WPS-word,37084,2869,7.74%,1074.67,0.37
2021-01-10,北京猎豹移动,搜索推广,第三方软件-微师客户端,302,18,5.96%,5.38,0.3
2021-01-10,北京猎豹移动,搜索推广,第三方软件-微信,20154,2611,12.96%,1004.2,0.38
2021-01-10,北京猎豹移动,搜索推广,第三方软件-WPS-excel,26251,1756,6.69%,602.47,0.34
2021-01-10,北京猎豹移动,搜索推广,第三方软件-FlashPlayer,17337,769,4.44%,334.05,0.43
2021-01-10,北京猎豹移动,搜索推广,第三方软件-WPS,68994,2909,4.22%,1312.83,0.45
2021-01-10,北京猎豹移动,搜索推广,第三方软件-驱动精灵,45959,3696,8.04%,1410.14,0.38
2021-01-10,北京猎豹移动,搜索推广,第三方软件-钉钉电脑版,54460,4581,8.41%,1766.23,0.39
2021-01-10,北京猎豹移动,搜索推广,第三方软件-Visio,410,4,0.98%,1.2,0.3
2021-01-09,北京猎豹移动,搜索推广,第三方软件-CAJViewer,2240,180,8.04%,75.51,0.42
2021-01-09,北京猎豹移动,搜索推广,第三方软件-酷我音乐,1598,122,7.63%,36,0.3
2021-01-09,北京猎豹移动,搜索推广,第三方软件-微信,34557,2590,7.49%,1004.05,0.39
2021-01-09,北京猎豹移动,搜索推广,第三方软件-whatsapp,493,31,6.29%,9.1,0.29
2021-01-09,北京猎豹移动,搜索推广,第三方软件-QQ五笔,512,45,8.79%,14.73,0.33
2021-01-09,北京猎豹移动,搜索推广,第三方软件-微师客户端,349,18,5.16%,5.36,0.3
2021-01-09,北京猎豹移动,搜索推广,第三方软件-小鱼易连,714,43,6.02%,12.9,0.3
2021-01-09,北京猎豹移动,搜索推广,第三方软件-暴风影音,1057,43,4.07%,12.9,0.3
2021-01-09,北京猎豹移动,搜索推广,第三方软件-钉钉电脑版,46633,3416,7.33%,1315.19,0.39
2021-01-09,北京猎豹移动,搜索推广,第三方软件-cctalk,1431,96,6.71%,37.12,0.39
2021-01-09,北京猎豹移动,搜索推广,第三方软件-万能五笔,2610,99,3.79%,54.33,0.55
2021-01-09,北京猎豹移动,搜索推广,第三方软件-向日葵,21889,1987,9.08%,693.19,0.35
2021-01-09,北京猎豹移动,搜索推广,第三方软件-Visio,688,14,2.03%,4.2,0.3
2021-01-09,北京猎豹移动,搜索推广,第三方软件-WPS,76909,2998,3.9%,1354.8,0.45
2021-01-09,北京猎豹移动,搜索推广,第三方软件-王者荣耀PC版,7471,143,1.91%,42.94,0.3
2021-01-09,北京猎豹移动,搜索推广,第三方软件-全民K歌,2853,166,5.82%,50.26,0.3
2021-01-09,北京猎豹移动,搜索推广,第三方软件-芒果TV,2358,158,6.7%,50.39,0.32
2021-01-09,北京猎豹移动,搜索推广,第三方软件-WPS-word,39368,3135,7.96%,1174.93,0.37
2021-01-09,北京猎豹移动,搜索推广,第三方软件-极点五笔输入法,3501,125,3.57%,38.11,0.3
2021-01-09,北京猎豹移动,搜索推广,第三方软件-搜狗输入法,26659,2208,8.28%,1130.69,0.51
2021-01-09,北京猎豹移动,搜索推广,第三方软件-photoshopcs6,16094,119,0.74%,45.06,0.38
2021-01-09,北京猎豹移动,搜索推广,第三方软件-瞩目,2841,247,8.69%,86.12,0.35
2021-01-09,北京猎豹移动,搜索推广,第三方软件-优酷客户端,944,20,2.12%,6.01,0.3
2021-01-09,北京猎豹移动,搜索推广,第三方软件-香肠派对,8122,1142,14.06%,351.57,0.31
2021-01-09,北京猎豹移动,搜索推广,第三方软件-搜狗五笔,25692,1052,4.09%,368.7,0.35
2021-01-09,北京猎豹移动,搜索推广,第三方软件-千牛,10391,786,7.56%,395.12,0.5
2021-01-09,北京猎豹移动,搜索推广,第三方软件-美图秀秀,11523,429,3.72%,156.35,0.36
2021-01-09,北京猎豹移动,搜索推广,第三方软件-FlashPlayer,19486,798,4.1%,350.54,0.44
2021-01-09,北京猎豹移动,搜索推广,第三方软件-雷电模拟器,19890,724,3.64%,238.31,0.33
2021-01-09,北京猎豹移动,搜索推广,第三方软件-EV录屏,3680,18,0.49%,6.23,0.35
2021-01-09,北京猎豹移动,搜索推广,公司软件-猎豹免费WIFI,348,18,5.17%,6.44,0.36
2021-01-09,北京猎豹移动,搜索推广,第三方软件-陌陌电脑版,393,22,5.6%,6.6,0.3
2021-01-09,北京猎豹移动,搜索推广,第三方软件-极品五笔输入法,6950,570,8.2%,265.03,0.46
2021-01-09,北京猎豹移动,搜索推广,第三方软件-cad快速看图,7075,472,6.67%,245.59,0.52
2021-01-09,北京猎豹移动,搜索推广,第三方软件-WPS-excel,27674,1752,6.33%,603.18,0.34
2021-01-09,北京猎豹移动,搜索推广,第三方软件-QQ影音,2294,63,2.75%,19.98,0.32
2021-01-09,北京猎豹移动,搜索推广,第三方软件-teamviewer,3887,276,7.1%,91.25,0.33
2021-01-09,北京猎豹移动,搜索推广,第三方软件-网易邮箱大师,196,28,14.29%,8.4,0.3
2021-01-09,北京猎豹移动,搜索推广,第三方软件-驱动精灵,47944,3723,7.77%,1448.45,0.39
2021-01-09,北京猎豹移动,搜索推广,第三方软件-QQ拼音,5003,81,1.62%,26.48,0.33
2021-01-09,北京猎豹移动,搜索推广,第三方软件-逍遥笔手写输入法,3158,244,7.73%,85.71,0.35
2021-01-09,北京猎豹移动,搜索推广,第三方软件-Rar解压软件,2084,51,2.45%,18.91,0.37
2021-01-09,北京猎豹移动,搜索推广,第三方软件-zoom视频会议,1537,245,15.94%,96.47,0.39
2021-01-09,北京猎豹移动,搜索推广,第三方软件-光影魔术手,4164,325,7.8%,114.37,0.35
2021-01-09,北京猎豹移动,搜索推广,第三方软件-QQ,24634,1666,6.76%,585.9,0.35
2021-01-09,北京猎豹移动,搜索推广,第三方软件-腾讯会议,8031,299,3.72%,104.4,0.35
2021-01-09,北京猎豹移动,搜索推广,第三方软件-荒野行动,3316,347,10.46%,104.4,0.3
2021-01-09,北京猎豹移动,搜索推广,第三方软件-阿里旺旺,2774,214,7.71%,102.56,0.48
2021-01-08,北京猎豹移动,搜索推广,第三方软件-QQ五笔,623,41,6.58%,13.45,0.33
2021-01-08,北京猎豹移动,搜索推广,第三方软件-EV录屏,3001,26,0.87%,8.88,0.34
2021-01-08,北京猎豹移动,搜索推广,公司软件-猎豹免费WIFI,429,25,5.83%,8.49,0.34
2021-01-08,北京猎豹移动,搜索推广,第三方软件-微师客户端,188,26,13.83%,7.77,0.3
2021-01-08,北京猎豹移动,搜索推广,第三方软件-whatsapp,459,20,4.36%,5.9,0.3
2021-01-08,北京猎豹移动,搜索推广,第三方软件-网易邮箱大师,276,20,7.25%,5.97,0.3
2021-01-08,北京猎豹移动,搜索推广,第三方软件-王者荣耀PC版,3196,29,0.91%,8.7,0.3
2021-01-08,北京猎豹移动,搜索推广,第三方软件-陌陌电脑版,470,17,3.62%,5.1,0.3
2021-01-08,北京猎豹移动,搜索推广,第三方软件-Visio,839,13,1.55%,3.9,0.3
2021-01-08,北京猎豹移动,搜索推广,第三方软件-Rar解压软件,1827,28,1.53%,10.64,0.38
2021-01-08,北京猎豹移动,搜索推广,第三方软件-暴风影音,918,30,3.27%,8.95,0.3
2021-01-08,北京猎豹移动,搜索推广,第三方软件-优酷客户端,1202,10,0.83%,3,0.3
2021-01-08,北京猎豹移动,搜索推广,第三方软件-zoom视频会议,1388,209,15.06%,82.36,0.39
2021-01-08,北京猎豹移动,搜索推广,第三方软件-极品五笔输入法,11615,735,6.33%,344.29,0.47
2021-01-08,北京猎豹移动,搜索推广,第三方软件-FlashPlayer,21318,788,3.7%,344.7,0.44
2021-01-08,北京猎豹移动,搜索推广,第三方软件-QQ,24375,1004,4.12%,355.04,0.35
2021-01-08,北京猎豹移动,搜索推广,第三方软件-cad快速看图,8993,562,6.25%,290.56,0.52
2021-01-08,北京猎豹移动,搜索推广,第三方软件-雷电模拟器,20573,572,2.78%,189.46,0.33
2021-01-08,北京猎豹移动,搜索推广,第三方软件-腾讯会议,9192,367,3.99%,127.78,0.35
2021-01-08,北京猎豹移动,搜索推广,第三方软件-光影魔术手,6007,404,6.73%,142.5,0.35
2021-01-08,北京猎豹移动,搜索推广,第三方软件-搜狗五笔,28629,1150,4.02%,398.02,0.35
2021-01-08,北京猎豹移动,搜索推广,第三方软件-千牛,10429,818,7.84%,409.09,0.5
2021-01-08,北京猎豹移动,搜索推广,第三方软件-搜狗输入法,29408,2294,7.8%,1186.32,0.52
2021-01-08,北京猎豹移动,搜索推广,第三方软件-钉钉电脑版,47412,3172,6.69%,1220.75,0.38
2021-01-08,北京猎豹移动,搜索推广,第三方软件-驱动精灵,52647,3903,7.41%,1540.69,0.39
2021-01-08,北京猎豹移动,搜索推广,第三方软件-WPS-word,40330,2878,7.14%,1086.93,0.38
2021-01-08,北京猎豹移动,搜索推广,第三方软件-向日葵,25245,2335,9.25%,817.49,0.35
2021-01-08,北京猎豹移动,搜索推广,第三方软件-WPS-excel,31060,1735,5.59%,602.15,0.35
2021-01-08,北京猎豹移动,搜索推广,第三方软件-微信,51129,2096,4.1%,808.06,0.39
2021-01-08,北京猎豹移动,搜索推广,第三方软件-美图秀秀,13245,334,2.52%,124.19,0.37
2021-01-08,北京猎豹移动,搜索推广,第三方软件-阿里旺旺,3578,254,7.1%,123.26,0.49
2021-01-08,北京猎豹移动,搜索推广,第三方软件-小鱼易连,1271,137,10.78%,41.1,0.3
2021-01-08,北京猎豹移动,搜索推广,第三方软件-cctalk,1147,111,9.68%,42.02,0.38
2021-01-08,北京猎豹移动,搜索推广,第三方软件-photoshopcs6,12671,111,0.88%,42.22,0.38
2021-01-08,北京猎豹移动,搜索推广,第三方软件-酷我音乐,1531,113,7.38%,33.5,0.3
2021-01-08,北京猎豹移动,搜索推广,第三方软件-芒果TV,1771,100,5.65%,31.92,0.32
2021-01-08,北京猎豹移动,搜索推广,第三方软件-极点五笔输入法,3831,87,2.27%,26.86,0.31
2021-01-08,北京猎豹移动,搜索推广,第三方软件-QQ拼音,5702,90,1.58%,29.54,0.33
2021-01-08,北京猎豹移动,搜索推广,第三方软件-全民K歌,3025,160,5.29%,48.5,0.3
2021-01-08,北京猎豹移动,搜索推广,第三方软件-荒野行动,1785,200,11.2%,60,0.3
2021-01-08,北京猎豹移动,搜索推广,第三方软件-CAJViewer,2614,213,8.15%,89.21,0.42
2021-01-08,北京猎豹移动,搜索推广,第三方软件-teamviewer,4350,287,6.6%,94.25,0.33
2021-01-08,北京猎豹移动,搜索推广,第三方软件-香肠派对,3200,389,12.16%,119.65,0.31
2021-01-08,北京猎豹移动,搜索推广,第三方软件-逍遥笔手写输入法,3535,254,7.19%,88.68,0.35
2021-01-08,北京猎豹移动,搜索推广,第三方软件-WPS,97817,4184,4.28%,1918.05,0.46
2021-01-08,北京猎豹移动,搜索推广,第三方软件-万能五笔,3761,114,3.03%,63.92,0.56
2021-01-08,北京猎豹移动,搜索推广,第三方软件-瞩目,2447,195,7.97%,68.22,0.35
2021-01-08,北京猎豹移动,搜索推广,第三方软件-QQ影音,1971,63,3.2%,19.82,0.31
